## Lee~Giaver, 2005 (PMID 16121259)
## Homozygous deletion collection, growth (relative abundance in pooled culture)
ORF	cisplatin [500 uM], time [5 generations]	cisplatin [500 uM], time [overnight + 20 generations]	carboplatin [15 mM], time [5 generations]	oxaliplatin [4 mM], time [5 generations]	psoralen [0.5 uM], time [5 generations], radiation [unknown]	angelicin irradiated (angelicin [62.5 uM], time [5 generations], radiation [unknown])	mechlorethamine [62.5 uM], time [overnight + 5 generations]	mechlorethamine [62.5 uM], time [overnight + 20 generations]	mitomycin C [1 mM], time [5 generations]	streptozocin [2 mM], time [5 generations]	streptozocin [2 mM], time [overnight + 20 generations]	methyl methanesulfonate [0.002%], time [5 generations]	camptothecin [30 ug/ml], time [5 generations]	camptothecin [30 ug/ml], time [overnight + 20 generations]	2-dimethylaminoethyl chloride [240 mM], time [5 generations]	4-nitroquinoline N-oxide [0.0313 uM], time [5 generations]
YIL131C	-0.034	0.528	-0.363	0.051	0.116	0.254	-0.321	0.466	-0.393	-0.252	0.056	0.126	0.038	-0.256	-0.194	-0.449
YIL132C	-2.398	-4.056	-1.439	-2.197	-0.112	-0.685	-1.303	-1.247	-1.365	-1.523	-2.630	-3.437	-0.594	-0.259	-3.405	-2.332
YIL133C	0.628	0.626	0.438	0.963	0.419	-0.221	0.905	-1.063	0.865	0.240	0.603	0.798	0.413	0.856	-0.438	0.403
YIL134W	-0.000	0.550	-0.000	-0.000	-0.000	-0.000	-0.000	-0.113	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YIL135C	0.099	-0.139	0.006	0.115	-0.617	-0.236	-0.165	-0.545	-0.048	0.009	-0.546	0.013	-0.113	0.160	-0.071	0.324
YIL136W	0.618	0.425	0.657	0.777	0.060	0.006	-0.354	0.253	0.506	-0.355	-0.279	0.782	0.612	-0.009	0.207	0.092
YIL137C	-1.084	0.484	-0.372	-0.000	-0.094	0.007	-0.385	-0.396	-0.298	-0.361	0.416	-0.067	0.042	-0.089	0.268	-0.250
YIL138C	-0.182	-0.472	-0.009	-0.392	0.101	-0.234	-0.416	-0.651	-0.276	-0.182	0.083	0.037	0.219	0.004	0.019	-0.048
YIL139C	-0.523	-1.479	0.817	-0.379	-0.666	0.033	-1.535	-1.224	0.167	0.086	-0.353	1.463	1.347	0.056	0.288	0.376
YIL140W	-0.258	0.004	-0.152	-0.271	-0.121	0.131	-0.202	-0.483	-0.379	-0.382	0.017	-0.360	-0.025	-0.181	-0.005	-0.020
YIL141W	-0.276	-0.863	-0.285	-0.202	0.039	-0.141	-0.010	-0.566	-0.352	0.036	-0.652	-0.081	-0.108	-0.282	0.065	-0.161
YIL145C	-0.211	-0.858	0.019	-0.027	-0.151	0.008	-0.253	-0.709	-0.333	0.137	-0.060	-0.185	0.129	-0.255	0.190	0.063
YIL146C	-0.185	-0.233	-0.333	-0.210	-0.022	0.104	-0.273	0.125	-0.493	0.033	0.191	-0.466	-0.161	0.034	-0.042	0.026
YIL148W	0.235	-0.304	0.052	-0.194	-0.331	0.046	-0.094	-0.531	-0.020	0.302	0.972	0.409	-0.077	-0.219	0.028	-0.023
YIL149C	0.262	-0.276	0.089	0.121	0.150	0.020	0.062	-0.762	-0.460	-0.009	-0.047	0.599	0.113	-0.394	0.443	0.793
YIL152W	-0.666	-0.690	-0.684	-0.822	-0.471	-0.171	-0.405	-0.540	-0.878	-0.336	-0.130	-0.390	-0.476	-0.813	-0.586	-0.020
YIL153W	-1.005	-2.520	-1.311	-1.669	-0.378	-0.452	-0.234	-1.598	-0.774	-0.255	-1.759	-0.488	-0.918	-0.613	-1.139	-0.047
YIL154C	-2.908	-3.195	-1.431	-2.993	-0.242	-0.091	-0.750	-1.182	-0.725	-0.062	0.323	0.033	0.281	-0.091	-1.565	0.520
YIL155C	0.048	-0.295	-0.270	-0.005	0.018	-0.064	-0.393	-0.898	-0.444	0.055	0.447	0.054	-0.211	0.475	0.195	-0.207
YIL156W	-0.692	-1.016	-0.979	-0.301	-0.404	-0.545	-0.316	-0.930	-0.256	-0.483	0.316	-0.182	0.079	0.361	-0.354	-0.871
YIL157C	0.232	-0.496	0.009	0.293	0.221	0.187	-0.363	-0.028	0.141	-0.548	-0.304	0.109	-0.102	-0.365	-0.069	0.956
YIL158W	0.689	0.119	0.738	0.412	0.354	0.317	-0.070	0.274	0.142	0.061	0.000	0.642	0.929	0.088	0.027	0.164
YIL159W	-0.407	-0.399	-0.180	-0.103	-0.391	-0.161	-0.207	-0.624	-0.270	-0.328	-0.089	-0.134	0.112	0.030	-0.124	0.015
YIL160C	-0.172	-0.398	-0.137	-0.247	-0.256	-0.284	-0.011	-0.500	-0.202	-0.503	0.379	0.207	-0.357	0.328	0.003	0.043
YIL161W	-0.282	-0.285	-0.280	-0.060	-0.234	-0.205	-0.253	-0.237	-0.224	-0.405	0.413	-0.366	-0.296	0.017	0.001	-0.413
YIL162W	-0.537	-0.036	0.007	-0.051	0.079	-0.146	-0.218	-0.753	-0.096	-0.260	0.069	-0.143	-0.182	0.429	0.144	0.071
YIL163C	-0.366	-0.124	-0.510	-0.317	-0.610	-0.287	-0.282	-0.611	-0.368	-0.424	-0.228	-0.266	-0.280	0.096	-0.541	-0.958
YIL164C	-0.389	-0.104	-0.419	-0.074	-0.063	-0.056	-0.407	-0.608	-0.251	-0.283	0.184	-0.416	-0.207	0.221	-0.588	0.462
YIL165C	-0.449	0.123	-0.071	0.127	-0.265	0.049	-0.177	-0.207	-0.141	-0.052	0.294	-0.044	-0.385	0.029	0.109	-0.287
YIL166C	-0.021	-0.361	-0.203	0.021	0.542	0.149	-0.163	-0.701	-0.043	0.391	0.255	-0.003	0.311	0.074	0.172	0.103
YIL167W	-0.025	0.019	-0.246	-0.039	-0.277	0.025	-0.034	-0.862	-0.307	-0.025	0.176	-0.154	0.069	0.033	-0.091	0.116
YIL168W	-0.280	-1.185	-0.195	-0.240	-0.162	0.036	-0.277	-0.667	-0.318	-0.237	-0.034	-0.204	-0.150	-0.375	-0.089	0.277
YIL170W	0.008	-0.258	-0.121	0.266	0.117	0.247	0.174	-0.675	-0.001	-0.093	0.240	0.224	-0.017	-0.076	0.401	-0.003
YIL173W	-0.092	0.015	-0.334	-0.371	-0.104	-0.379	0.176	-0.165	-0.366	0.078	-0.175	-0.290	-0.246	-0.379	0.295	-0.584
YIR001C	-0.341	-0.385	-0.629	-0.309	-0.170	-0.205	-0.632	-0.647	-0.755	-0.233	-0.266	-0.229	-0.220	-0.604	-0.409	-0.213
YIR002C	-2.230	-2.814	-1.243	-1.526	-0.266	-0.474	-1.093	-1.491	-0.904	-1.457	-2.525	-2.455	-0.118	-0.186	-2.906	-2.544
YIR003W	-0.644	-0.713	-0.766	-0.378	-0.500	-0.940	-0.136	-0.124	-0.501	-0.626	0.233	-0.359	-0.399	0.180	-0.870	0.136
YIR004W	-0.142	-0.112	-0.288	-0.169	-0.293	-0.219	-0.300	0.238	-0.452	-0.389	-0.199	-0.583	-0.441	-0.056	-0.140	-0.417
YIR005W	0.898	-0.688	0.665	1.115	0.327	0.016	0.881	-0.635	1.064	0.318	-0.000	0.445	0.373	-0.000	-0.252	0.836
YIR007W	-0.343	-0.396	-0.060	0.017	-0.347	-0.073	-0.431	-0.159	-0.154	0.152	0.125	-0.221	-0.242	0.349	0.123	0.046
YIR009W	0.868	-0.987	0.356	0.737	0.093	0.124	-0.145	-0.860	0.591	-0.096	-0.000	1.170	0.448	-0.000	0.742	0.878
YIR013C	-0.510	0.161	-0.243	-0.116	-0.250	-0.319	-0.043	0.061	-0.325	-0.190	0.346	-0.372	-0.454	0.022	0.150	-0.101
YIR014W	-0.144	0.281	-0.152	-0.006	-0.106	-0.747	0.213	0.272	-0.272	-0.065	0.320	-0.210	-0.290	0.280	-0.133	0.394
YIR016W	-0.650	0.073	-0.262	-0.244	-0.442	-0.558	-0.266	0.216	-0.062	-0.611	0.096	-0.165	-0.200	0.019	0.015	-0.059
YIR017C	-0.199	-0.375	-0.342	-0.439	-0.218	-0.314	-0.246	-0.160	-0.576	-0.343	0.492	-0.133	-0.297	0.292	-0.266	-0.151
YIR018W	0.048	0.068	-0.266	-0.061	-0.069	0.246	-0.022	0.109	-0.241	0.055	0.315	-0.316	0.004	0.288	0.013	-0.686
YIR019C	-0.095	0.382	-0.288	-0.344	0.242	0.093	-0.308	0.111	-0.466	-0.097	0.370	-0.040	-0.118	0.223	0.277	-0.303
YIR020C	-0.101	0.042	-0.090	-0.070	-0.101	-0.028	-0.059	0.155	-0.312	-0.250	0.326	-0.117	-0.080	0.284	0.072	0.150
YIR020W-B	-0.269	0.055	-0.328	-0.476	0.106	0.227	-0.081	0.061	-0.554	-0.099	0.078	-0.314	-0.042	0.140	0.125	-0.437
YIR021W	-0.048	1.002	-0.155	0.127	0.169	0.376	0.009	0.807	-0.452	0.351	0.490	-0.298	-0.169	0.402	0.482	0.145
YIR023W	-0.195	0.221	-0.282	-0.047	0.176	0.236	-0.083	-0.237	-0.659	0.211	0.302	-0.446	-0.243	0.016	0.387	-0.112
YIR024C	-0.229	0.766	-0.302	-0.347	-0.042	0.006	0.301	0.435	-0.343	-0.155	-0.051	-0.022	0.003	-0.150	-0.092	0.093
YIR025W	-0.088	0.204	-0.308	0.037	-0.008	0.178	-0.203	0.080	-0.179	0.006	0.310	-0.020	-0.228	0.165	-0.119	0.343
YIR026C	1.194	-0.000	0.822	1.352	0.375	0.464	0.647	-0.000	1.797	0.708	-0.000	0.858	0.234	-0.000	-0.264	0.611
YIR027C	-0.214	0.038	-0.030	-0.057	0.291	0.372	0.305	-0.308	0.015	-0.032	0.470	0.227	0.292	0.477	0.034	0.345
YIR028W	-0.443	0.246	-0.271	-0.409	-0.647	-0.259	-0.368	-0.035	-0.993	-0.939	0.223	-0.416	-0.496	0.309	-0.155	-0.552
YIR029W	-0.143	0.186	-0.127	0.120	0.166	0.091	-0.042	0.248	-0.699	0.260	-0.076	-0.105	-0.011	-0.121	0.320	-0.277
YIR030C	-0.175	-0.249	0.065	-0.086	0.037	0.394	-0.352	-0.269	-0.666	-0.237	0.409	0.165	0.208	0.407	0.012	0.260
YIR031C	-0.047	0.370	-0.545	-0.192	0.268	-0.157	-0.128	0.365	-0.562	-0.108	-0.021	-0.111	-0.075	0.309	0.337	-0.166
YIR032C	-0.255	0.080	-0.226	-0.407	-0.137	-0.105	-0.322	0.125	0.240	-0.104	-0.135	0.429	-0.035	0.115	0.321	0.450
YIR033W	-0.837	0.401	-1.124	-0.618	-0.425	-0.552	1.173	0.011	-0.144	-0.285	0.618	-2.891	0.133	-0.048	-0.326	0.225
YIR034C	-0.415	-0.026	-0.216	-0.146	0.192	-0.133	0.554	-0.099	-0.452	-0.347	-0.009	-0.092	0.039	-0.418	-0.209	0.018
YIR035C	-0.204	0.338	-0.103	-0.127	0.021	0.170	-0.080	0.354	-0.212	-0.053	0.366	-0.155	-0.054	0.164	0.293	0.135
YIR036C	-0.069	0.179	0.048	-0.024	-0.093	-0.462	0.125	0.172	-0.413	-0.232	0.136	0.023	-0.240	0.115	0.038	-0.240
YIR037W	0.196	0.581	0.473	0.224	0.226	0.192	-0.375	0.121	0.123	-0.050	0.250	0.523	0.493	0.040	0.019	0.185
YIR038C	0.419	-0.035	0.394	0.396	0.164	0.522	0.188	0.054	0.160	-0.072	-0.021	0.333	0.515	0.038	0.331	-0.016
YIR039C	-0.016	0.196	-0.002	0.045	0.233	0.029	-0.227	-0.146	0.131	0.245	0.086	0.322	-0.052	0.141	0.461	0.342
YIR042C	-0.366	0.579	-0.279	-0.370	-0.156	0.038	0.103	0.263	-0.303	-0.226	0.297	-0.433	-0.384	0.214	0.128	-0.780
YIR043C	-0.307	0.018	-0.080	-0.029	0.093	0.266	-0.094	-0.141	-0.281	-0.105	0.408	-0.341	-0.230	0.202	0.378	-0.022
YIR044C	-0.178	-0.120	0.044	0.149	0.189	0.117	-0.009	-0.001	-0.012	0.105	0.282	-0.191	-0.032	0.249	0.470	0.094
YJL003W	0.630	-0.000	0.541	0.790	0.109	-0.085	0.130	-0.000	0.182	0.247	0.103	0.255	0.113	0.099	0.425	0.678
YJL004C	-0.139	0.599	-0.084	0.177	-0.559	-0.768	0.297	0.090	0.609	-0.234	-0.067	-0.032	-0.158	-0.034	-0.308	0.241
YJL006C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJL007C	0.245	0.143	0.059	0.286	0.335	0.112	0.005	-0.571	0.014	0.090	0.224	0.099	0.142	0.155	0.553	0.060
YJL012C	0.395	0.371	0.458	0.658	0.027	0.309	0.433	-0.098	-0.227	-0.125	-0.209	0.113	0.231	-0.256	0.346	0.271
YJL013C	-0.280	0.307	-0.259	0.239	-0.232	-0.016	0.157	0.035	-0.011	-0.209	-0.313	-0.495	-0.326	-0.101	0.243	-0.661
YJL016W	0.038	0.395	-0.127	0.252	-0.171	0.125	-0.014	0.328	-0.290	-0.299	-0.018	-0.112	-0.344	0.058	0.194	-0.051
YJL017W	0.019	0.024	-0.234	0.143	-0.092	-0.227	-0.082	0.044	-0.518	-0.147	-0.153	0.036	-0.082	0.237	0.334	-0.107
YJL020C	-0.438	0.343	-0.785	-0.260	-0.429	-0.407	0.030	0.518	-0.496	-0.224	0.191	-0.619	-0.293	0.176	-0.141	-0.044
YJL021C	-0.406	0.277	-0.490	-0.292	-0.140	0.042	-0.223	0.359	-0.624	-0.084	0.070	-0.561	-0.528	0.115	0.164	-0.074
YJL022W	-0.246	0.230	-0.345	-0.259	-0.305	-0.139	-0.228	0.603	-1.236	-0.154	0.274	-0.372	-0.212	0.467	-0.111	-0.153
YJL023C	-0.130	0.606	-0.245	0.075	-0.053	-0.094	-0.034	1.033	-0.703	0.165	0.313	-0.272	-0.331	-0.107	0.497	0.249
YJL024C	-0.040	0.299	-0.210	-0.275	-0.136	0.043	0.072	-0.520	0.262	-0.275	0.111	0.356	0.201	-0.236	0.053	0.559
YJL027C	-0.118	0.158	-0.258	0.042	-0.193	-0.004	-0.392	0.193	-0.497	-0.058	-0.043	-0.272	-0.244	0.108	0.162	-0.152
YJL028W	-0.256	0.048	-0.513	-0.344	0.133	0.166	0.074	0.096	-0.545	0.028	0.258	-0.198	-0.215	-0.054	-0.073	0.468
YJL029C	-1.737	-0.000	-0.874	-1.895	0.090	-0.187	-0.290	-0.000	0.616	-0.399	-0.000	0.266	0.175	-0.000	-1.263	0.420
YJL030W	0.003	0.498	0.165	0.023	-0.195	0.036	-0.006	0.232	0.147	0.100	-0.062	-0.382	-0.216	0.202	0.094	-0.012
YJL036W	0.459	0.135	0.338	-0.007	0.274	-0.429	-0.156	0.025	-0.078	-0.299	0.137	-0.288	-0.051	0.003	0.511	0.066
YJL037W	0.011	0.411	-0.089	0.139	-0.093	-0.376	-0.144	0.408	-0.191	-0.164	-0.239	-0.177	0.352	-0.562	-0.166	-0.736
YJL038C	-0.239	0.362	-0.246	0.229	-0.219	-0.341	-0.462	0.559	-0.484	-0.261	-0.043	-0.258	0.054	0.395	0.054	0.037
YJL042W	-0.225	0.196	-0.315	-0.098	-0.108	0.036	-0.013	-0.090	-0.217	-0.069	0.335	-0.538	-0.394	0.196	0.244	0.069
YJL043W	0.169	0.468	-0.234	-0.246	-0.621	-0.254	-0.151	0.539	0.163	-0.375	-0.274	-0.315	-0.322	0.249	0.055	0.325
YJL044C	-0.256	0.591	-0.364	-0.479	-0.232	-0.275	-0.325	0.566	-0.437	-0.256	0.059	-0.229	-0.069	0.192	-0.465	-0.212
YJL045W	-0.320	0.412	0.016	0.125	-0.053	-0.059	0.172	0.456	0.091	-0.275	-0.117	-0.324	-0.061	0.176	-0.029	-0.206
YJL046W	0.600	-0.000	0.537	0.675	-0.092	-0.341	-0.220	-0.000	0.759	0.328	-0.000	-0.214	0.189	-0.000	0.269	0.306
YJL047C	-2.054	-0.680	-1.523	-1.532	-0.375	-0.591	-2.686	-0.771	-0.141	-1.347	-1.286	-3.171	-3.928	-1.496	-3.211	-2.546
YJL048C	-0.025	0.425	-0.038	-0.023	-0.124	-0.030	-0.190	0.446	0.036	-0.126	0.072	-0.176	0.141	0.040	0.189	0.388
YJL049W	-0.118	0.389	-0.571	-0.231	-0.150	-0.194	0.071	0.624	-0.048	0.059	-0.176	-0.297	-0.158	0.318	-0.138	-0.192
YJL051W	-0.316	0.555	-0.395	-0.064	-0.342	-0.294	0.394	0.612	-0.441	-0.528	-0.271	-0.344	-0.003	0.085	-0.319	-0.313
YJL052W	-0.806	-0.161	-0.284	-0.110	0.162	0.297	0.171	0.198	-0.085	-0.056	0.135	-0.241	0.043	0.474	-0.556	0.185
YJL053W	-0.259	0.684	-0.312	-0.640	-0.376	-0.073	-0.042	0.662	-0.287	-0.532	-0.281	-0.271	-0.203	0.092	-0.346	-0.064
YJL055W	-0.159	0.490	-0.294	0.035	-0.172	-0.040	-0.338	0.500	-0.261	-0.503	-0.087	-0.460	-0.183	0.131	0.086	-0.131
YJL056C	0.436	-0.000	0.499	-1.124	1.257	1.317	1.036	-0.000	0.824	1.111	0.373	1.015	1.081	-0.144	1.404	0.956
YJL057C	0.175	0.624	0.031	-0.009	-0.051	0.077	0.060	0.535	-0.006	-0.056	-0.057	-0.185	0.012	0.165	0.185	-0.212
YJL058C	-0.057	0.337	-0.074	-0.111	0.215	0.145	0.053	0.648	-0.197	0.391	-0.030	-0.061	-0.045	0.003	0.193	-0.424
YJL059W	0.550	-0.000	0.594	0.875	-0.161	0.119	0.098	-0.000	0.807	-0.205	-0.428	0.580	0.746	0.021	-0.462	-0.105
YJL060W	-0.332	0.520	-0.383	-0.082	0.121	-0.161	-0.079	0.180	-0.416	-0.118	-0.329	-0.293	-0.007	0.091	-0.498	-0.008
YJL062W	0.217	-0.000	0.689	-0.011	-0.202	-0.202	0.319	-0.000	0.900	0.036	-0.000	0.926	0.389	-0.000	-1.228	0.155
YJL063C	1.004	-0.000	0.713	0.805	0.356	0.045	0.377	-0.000	0.747	0.830	-0.000	0.466	0.414	-0.000	0.172	0.856
YJL064W	-0.051	0.568	0.175	-0.106	-0.165	-0.119	-0.136	0.522	-0.131	0.062	-0.246	-0.057	-0.281	0.214	0.040	-0.271
YJL065C	0.082	0.055	0.158	0.373	0.042	0.107	-0.030	0.228	0.275	0.141	-0.228	0.083	0.449	0.316	0.135	0.028
YJL066C	0.199	0.454	0.083	0.062	-0.018	0.170	-0.212	0.598	0.015	-0.177	0.214	0.091	0.279	-0.104	-0.074	0.225
YJL067W	-0.447	0.499	-0.268	-0.277	0.008	0.022	-0.025	0.607	-0.338	-0.045	0.200	-0.245	-0.102	0.126	-0.167	0.112
YJL068C	-0.036	0.617	-0.166	-0.149	-0.043	0.248	0.029	0.554	-0.126	0.252	0.207	-0.072	-0.030	0.171	0.100	-0.206
YJL070C	-0.176	0.014	-0.233	0.040	0.182	0.108	-0.037	0.362	-0.058	0.215	0.055	-0.434	-0.131	0.220	0.339	-0.188
YJL071W	0.084	0.419	-0.220	-0.127	0.138	0.545	0.029	0.393	0.172	-0.310	-0.252	-0.040	-0.124	0.004	0.059	0.013
YJL073W	-1.089	-0.197	-0.610	-0.942	-0.189	-0.140	-0.770	0.437	-1.067	-0.303	-0.670	-0.634	-0.357	-0.888	0.006	-0.505
YJL075C	0.027	-0.000	0.601	0.111	-0.720	-0.518	-0.197	-0.000	0.619	-0.123	-0.000	0.815	0.111	-0.000	0.359	-0.056
YJL077C	-0.008	0.227	0.087	-0.053	-0.087	0.125	-0.126	0.307	0.109	0.125	0.066	-0.033	-0.164	0.161	0.376	0.053
YJL078C	-0.289	-0.716	-0.357	-0.308	-0.144	0.063	0.062	0.057	-0.141	-0.273	0.172	-0.590	-0.466	0.182	-0.162	-0.065
YJL079C	-0.187	0.489	0.048	0.045	-0.026	0.037	-0.078	0.336	0.046	0.032	0.005	-0.173	0.046	0.130	0.231	0.239
YJL080C	-0.497	-1.950	-0.348	-0.684	-0.422	-0.208	-0.151	-0.204	0.215	-0.645	-0.017	-0.148	0.196	-0.790	-3.384	-0.291
YJL082W	-0.137	0.498	-0.071	0.034	0.046	0.200	-0.081	0.389	0.120	0.166	0.017	-0.253	-0.174	0.142	0.311	0.096
YJL083W	-0.397	0.477	-0.225	-0.341	-0.006	-0.087	-0.341	0.545	-0.090	-0.103	0.022	-0.218	-0.051	0.317	-0.159	-0.108
YJL084C	-0.208	0.619	-0.420	-0.055	-0.067	-0.038	0.254	0.344	-0.214	-0.125	-0.149	-0.228	-0.199	-0.111	0.063	-0.091
YJL088W	-0.146	0.356	-0.377	-0.146	-0.194	0.126	-0.113	0.292	-0.350	-0.093	0.145	-0.323	-0.204	-0.084	-0.217	0.072
YJL089W	-0.323	0.601	-0.146	0.157	-0.624	-0.707	-0.109	0.577	-0.821	-0.581	0.008	-0.229	-0.136	-0.079	-0.091	-0.037
YJL092W	-2.647	-1.549	-1.358	-2.639	-1.519	-1.229	-2.812	-1.645	-1.437	-2.616	-0.783	-2.684	-3.426	-0.679	-2.789	-4.166
YJL093C	0.040	0.591	0.243	0.177	0.198	0.407	0.064	0.574	0.071	0.156	0.240	0.272	0.239	0.203	0.435	-0.014
YJL094C	-0.112	0.124	-0.107	0.052	0.068	0.203	0.012	0.012	-0.061	0.175	0.147	-0.252	-0.168	-0.008	0.554	-0.223
YJL095W	-1.374	-0.181	-0.497	-1.104	-0.951	-0.170	-1.911	0.068	-3.350	-0.559	-1.671	-0.585	-0.452	-0.649	-0.644	-1.143
YJL096W	0.140	-0.000	0.472	-0.047	0.162	0.072	0.681	-0.000	0.084	0.402	-0.000	0.151	-0.078	-0.000	0.259	0.535
YJL098W	-0.096	0.314	-0.335	-0.167	-0.083	-0.297	0.025	0.345	-0.165	-0.973	-0.277	-0.154	-0.346	-0.211	0.097	0.277
YJL099W	-0.218	0.139	0.239	0.513	-0.488	0.149	-0.726	-0.337	-0.490	-0.559	-0.486	-0.010	0.255	-0.735	-0.208	-0.453
YJL100W	0.000	0.247	0.001	0.003	-0.104	-0.259	-0.232	0.019	-0.349	0.012	-0.022	-0.030	-0.060	0.020	-0.150	-0.099
YJL101C	-1.429	-1.575	0.054	-0.247	0.147	0.223	-0.887	-0.357	0.061	0.236	0.255	-0.177	-0.018	0.156	-1.460	0.236
YJL102W	0.883	-0.000	0.718	1.021	0.057	-0.085	0.819	-0.000	0.931	0.570	-0.000	0.542	0.174	-0.000	0.234	0.757
YJL103C	-0.008	-0.031	-0.166	-0.142	-0.392	-0.213	-0.007	0.658	-0.173	-0.463	0.129	-0.290	-0.004	0.248	-0.239	-0.063
YJL105W	0.183	-0.408	-0.358	0.016	0.250	-0.277	-0.325	0.245	-0.195	0.044	-0.716	-0.252	0.459	-0.083	0.261	0.212
YJL106W	0.033	0.348	-0.019	-0.029	0.152	0.319	-0.158	0.017	-0.060	0.278	0.020	-0.042	0.011	0.229	0.401	-0.174
YJL107C	-0.141	0.335	-0.388	-0.224	-0.026	0.020	0.020	0.569	0.006	-0.081	0.050	0.199	-0.197	0.104	-0.030	-0.413
YJL108C	-0.218	0.448	-0.158	-0.006	-0.119	-0.159	0.078	0.524	-0.133	-0.221	-0.087	-0.198	-0.006	0.117	0.043	0.047
YJL110C	-0.138	0.545	0.023	-0.019	0.141	0.268	-0.049	0.657	-0.156	0.103	-0.005	-0.207	-0.157	0.126	0.628	-0.278
YJL112W	-0.245	0.363	-0.321	-0.147	-0.049	-0.086	-0.163	0.569	-0.497	0.111	0.086	-0.576	-0.060	0.224	0.053	0.038
YJL115W	-0.537	-0.000	-0.255	-0.555	-0.823	-0.570	-0.551	-0.000	0.890	-1.003	-0.000	-0.790	-1.499	-0.000	-1.025	-1.099
YJL116C	-0.254	0.425	-0.146	-0.128	0.054	0.154	-0.019	0.575	-0.205	-0.026	0.061	-0.533	-0.197	0.111	0.275	-0.010
YJL117W	-1.639	-1.008	-2.537	-2.347	-0.058	0.045	0.430	-0.386	0.318	-0.012	0.321	0.017	0.207	-0.585	-0.526	0.286
YJL118W	-0.583	0.360	-0.629	-0.484	-0.390	-0.162	-0.315	0.394	-0.503	-0.096	-0.035	-0.412	-0.414	0.237	-0.248	0.108
YJL119C	-0.355	0.547	-0.140	-0.236	-0.124	0.155	-0.314	0.595	-0.154	-0.092	0.154	-0.310	-0.184	-0.048	0.192	0.005
YJL120W	0.646	-0.000	0.109	0.330	-0.160	-0.230	-0.042	-0.000	1.217	-0.118	-0.000	0.504	-0.044	-0.000	-0.093	-0.572
YJL121C	0.672	-0.602	0.552	0.528	0.336	0.274	-0.210	0.354	0.537	0.350	0.916	0.584	0.547	0.325	0.241	-0.195
YJL122W	-0.214	0.259	-0.420	-0.167	-0.113	-0.063	-0.112	0.356	-0.178	0.040	0.045	-0.069	-0.197	0.002	0.234	-0.079
YJL123C	-0.353	0.387	-0.107	-0.705	-0.007	-0.039	0.077	0.667	-0.175	0.099	-0.062	0.120	0.024	-0.075	0.004	-0.133
YJL124C	0.307	0.309	0.327	-0.134	-0.641	-0.104	-0.942	-0.137	0.017	-0.830	-1.273	-0.579	-1.359	-1.351	-1.691	-1.451
YJL126W	0.128	0.564	-0.008	0.113	-0.546	-0.325	0.502	0.388	0.197	-0.923	0.098	0.032	-0.176	-0.171	-0.479	-0.018
YJL127C	0.887	-0.000	0.265	0.190	-1.626	-0.688	-0.586	-0.000	0.608	-0.685	-0.000	1.123	-0.941	-0.000	-0.811	-1.182
YJL128C	0.067	-0.316	0.203	-0.006	-0.102	-0.084	-0.043	0.458	-0.247	0.100	0.682	-0.213	-0.031	0.299	-0.536	-0.005
YJL129C	-1.092	-1.342	-0.615	-1.420	0.204	0.676	-0.452	-0.683	0.476	0.100	0.284	-0.022	0.171	0.144	-3.475	0.189
YJL130C	-0.000	0.557	0.113	0.093	0.056	0.164	0.367	0.260	-0.051	0.199	0.206	-0.267	-0.211	0.048	0.235	-0.194
YJL131C	0.431	0.147	0.677	0.634	0.493	0.255	-0.195	-0.092	0.589	0.437	0.073	0.789	0.868	0.121	0.306	0.235
YJL132W	-0.169	-0.030	-0.352	-0.187	-0.062	-0.007	0.032	0.030	-0.211	-0.236	-0.031	-0.435	-0.148	0.030	-0.164	-0.078
YJL133W	-0.261	0.269	-0.160	-0.510	0.058	-0.092	-0.179	0.110	-0.393	-0.273	0.187	-0.430	-0.113	0.104	0.086	-0.044
YJL134W	0.062	0.472	-0.023	0.173	0.120	-0.191	0.168	0.311	-0.054	-0.081	-0.217	-0.172	-0.018	0.089	0.027	-0.013
YJL135W	0.169	0.503	0.205	0.237	0.228	0.017	0.213	0.280	0.087	-0.034	-0.056	-0.053	0.144	0.322	0.371	0.171
YJL136C	1.273	-0.000	0.755	1.505	0.038	0.419	0.789	-0.000	2.151	0.748	-0.217	0.641	0.319	0.769	0.339	0.827
YJL137C	-0.068	0.193	-0.063	-0.040	-0.060	-0.150	-0.074	-0.263	-0.337	-0.301	0.210	-0.173	-0.309	0.125	0.212	0.173
YJL138C	0.425	-0.151	0.007	0.143	0.164	-0.415	0.573	-0.170	0.160	0.041	0.155	-0.024	-0.075	0.022	0.049	0.650
YJL139C	0.192	0.686	-0.238	-0.167	0.109	0.134	0.120	0.442	-0.209	0.073	0.074	-0.122	-0.061	-0.854	-0.287	0.119
YJL140W	0.797	-0.000	1.059	0.903	-0.119	0.429	-0.348	-0.000	2.181	0.471	-0.000	0.542	1.074	-0.000	0.938	-0.851
YJL141C	0.093	-1.561	0.560	0.244	0.092	-0.083	0.477	-0.817	0.204	0.020	-0.165	-0.072	0.224	0.153	-0.372	-0.176
YJL142C	0.018	0.189	-0.058	-0.002	0.014	-0.004	0.171	-0.042	-0.128	0.144	0.191	-0.354	-0.163	0.041	0.178	0.095
